ランキング,タイトル,総合得点(点),評価件数(件),お気に入り人数(人),評価,物語,作画,声優,音楽,キャラ,ジャンル,放送時期,制作会社,声優陣
1,この素晴らしい世界に祝福を！ 第2期（TVアニメ動画）,95.0,1974,10404,3.9,3.8,3.6,4.1,3.7,4.1,TVアニメ動画,2017年冬アニメ,スタジオディーン,福島潤、雨宮天、高橋李依、茅野愛衣、原紗友里、稲田徹、堀江由衣、豊崎愛生、諏訪彩花、江口拓也、生天目仁美、西田雅一
2,かぐや様は告らせたい～天才たちの恋愛頭脳戦～（TVアニメ動画）,94.5,1367,5829,4.0,4.0,4.0,4.0,3.9,4.2,TVアニメ動画,2019年冬アニメ,A-1 Pictures,古賀葵、古川慎、小原好美、鈴木崚汰、花守ゆみり、青山穣
3,幼女戦記（TVアニメ動画）,93.6,1961,9255,3.9,4.0,3.9,4.0,3.9,3.9,TVアニメ動画,2017年冬アニメ,NUT,悠木碧、早見沙織、三木眞一郎、玄田哲章、大塚芳忠
4,メイドインアビス（TVアニメ動画）,93.6,1936,7864,4.2,4.3,4.3,4.1,4.1,4.1,TVアニメ動画,2017年夏アニメ,キネマシトラス,富田美憂、伊瀬茉莉也、井澤詩織、田村睦心、沼倉愛美、塙愛美、村田太志、坂本真綾
5,月がきれい（TVアニメ動画）,93.5,1610,6705,4.1,4.1,4.0,4.0,4.1,4.0,TVアニメ動画,2017年春アニメ,feel.,千葉翔也、小原好美、田丸篤志、村川梨衣、筆村栄心、金子誠、石見舞菜香、鈴木美園、千菅春香、井上ほの花、広瀬裕也、石井マーク、白石晴香、熊谷健太郎、岩中睦樹、東山奈央、岡和男、井上喜久子、斎藤千和、前川涼子
6,青春ブタ野郎はバニーガール先輩の夢を見ない（TVアニメ動画）,93.4,1452,6095,3.9,4.0,4.0,4.0,3.8,4.0,TVアニメ動画,2018年秋アニメ,CloverWorks,石川界人、瀬戸麻沙美、東山奈央、種﨑敦美、内田真礼、久保ユリカ、水瀬いのり
7,ヴァイオレット・エヴァーガーデン（TVアニメ動画）,93.3,2221,8776,4.2,4.1,4.5,4.1,4.1,4.1,TVアニメ動画,2018年冬アニメ,京都アニメーション,石川由依、子安武人、浪川大輔、遠藤綾、内山昂輝、茅原実里、戸松遥
8,コードギアス 反逆のルルーシュ R2（TVアニメ動画）,93.0,10445,35056,4.4,4.6,4.3,4.4,4.2,4.5,TVアニメ動画,2008年春アニメ,サンライズ,福山潤、櫻井孝宏、ゆかな、水島大宙、小清水亜美、緑川光、保志総一朗、後藤邑子、大原さやか、折笠富美子、杉山紀彰、渡辺明乃、真殿光昭、田中一成、高田裕司、二又一成、島香裕、私市淳、中田譲治、倉田雅世、新井里美、若本規夫、名塚佳織、千葉紗子、幸野善之、松元環季
9,ゆるキャン△（TVアニメ動画）,92.9,1602,6005,4.0,3.9,4.0,4.0,4.0,4.1,TVアニメ動画,2018年冬アニメ,C-Station,花守ゆみり、東山奈央、原紗友里、豊崎愛生、高橋李依、井上麻里奈、大塚明夫
10,STEINS；GATE [シュタインズ・ゲート]（TVアニメ動画）,92.7,16299,49532,4.4,4.6,4.2,4.4,4.2,4.4,TVアニメ動画,2011年春アニメ,WHITE FOX,宮野真守、今井麻美、花澤香菜、関智一、田村ゆかり、桃井はるこ、小林ゆう、後藤沙緒里、てらそままさき、山本彩乃、小形満
11,コードギアス 反逆のルルーシュ（TVアニメ動画）,92.6,10233,36424,4.3,4.5,4.2,4.3,4.2,4.4,TVアニメ動画,2006年秋アニメ,サンライズ,福山潤、櫻井孝宏、ゆかな、小清水亜美、名塚佳織、折笠富美子、大原さやか、杉山紀彰、千葉紗子、白鳥哲、井上喜久子、成田剣、渡辺明乃、中田譲治、田中一成、新井里美、高田裕司、真殿光昭、飛田展男、若本規夫、皆川純子、南央美
12,CLANNAD AFTER STORY-クラナド アフターストーリー（TVアニメ動画）,92.6,10154,32135,4.4,4.6,4.2,4.3,4.5,4.4,TVアニメ動画,2008年秋アニメ,www.tbs.co.jp/clannad/,
13,宇宙よりも遠い場所（TVアニメ動画）,92.5,2432,8254,4.2,4.3,4.1,4.3,4.1,4.2,TVアニメ動画,2018年冬アニメ,マッドハウス,水瀬いのり、花澤香菜、井口裕香、早見沙織、能登麻美子、日笠陽子、Lynn、金元寿子、本渡楓、大原さやか
14,涼宮ハルヒの消失（アニメ映画）,92.3,5070,22207,4.2,4.4,4.3,4.2,4.0,4.3,アニメ映画,2010年2月6日,京都アニメーション,平野綾、杉田智和、茅原実里、後藤邑子、小野大輔、桑谷夏子、松岡由貴、白石稔、松元惠、あおきさやか
15,攻殻機動隊 STAND ALONE COMPLEX[スタンドアローン・コンプレックス]（TVアニメ動画）,92.3,4866,20762,4.3,4.4,4.2,4.2,4.3,4.3,TVアニメ動画,2002年秋アニメ,プロダクションI.G,田中敦子、阪脩、大塚明夫、山寺宏一、仲野裕、大川透、山口太郎、小野塚貴志、玉川砂記子
16,COWBOY BEBOP - カウボーイビバップ（TVアニメ動画）,92.3,3085,14872,4.2,4.1,4.0,4.2,4.4,4.2,TVアニメ動画,1998年春アニメ,サンライズ,山寺宏一、石塚運昇、林原めぐみ、多田葵、高島雅羅、若本規夫
17,化物語（TVアニメ動画）,92.1,13178,46349,4.3,4.2,4.3,4.3,4.3,4.4,TVアニメ動画,2009年夏アニメ,シャフト,神谷浩史、斎藤千和、加藤英美里、沢城みゆき、花澤香菜、堀江由衣、櫻井孝宏、喜多村英梨、井口裕香
18,エロマンガ先生（TVアニメ動画）,92.1,1666,8110,3.8,3.5,3.9,3.8,3.7,3.9,TVアニメ動画,2017年春アニメ,A-1 Pictures,藤田茜、松岡禎丞、高橋未奈美、大西沙織、木戸衣吹、石川由依、小松未可子、島﨑信長
19,鋼の錬金術師 FULLMETAL ALCHEMIST（TVアニメ動画）,92.0,3151,17282,4.2,4.4,4.1,4.2,4.1,4.3,TVアニメ動画,2009年春アニメ,ボンズ,朴璐美、釘宮理恵、高本めぐみ、三木眞一郎、折笠富美子、内海賢二、藤原啓治、うえだゆうじ、佐藤美一、柿原徹也、浜田賢二、名塚佳織、柴田秀勝、三宅健太、井上喜久子、白鳥哲、高山みなみ、吉野裕行、沢海陽子、中井和哉、大友龍三郎
20,STEINS；GATE 0 [シュタインズ・ゲート・ゼロ]（TVアニメ動画）,91.7,1254,6078,4.0,4.0,3.9,4.1,4.0,4.1,TVアニメ動画,2018年春アニメ,WHITE FOX,宮野真守、花澤香菜、関智一、今井麻美、後藤沙緒里、小林ゆう、桃井はるこ、田村ゆかり、矢作紗友里、潘めぐみ、山本彩乃、本多真梨子、木野日菜、上田燿司、西村麻弥
21,四月は君の嘘（TVアニメ動画）,91.6,4848,18999,4.3,4.3,4.3,4.2,4.4,4.2,TVアニメ動画,2014年秋アニメ,A-1 Pictures,花江夏樹、種田梨沙、佐倉綾音、逢坂良太、早見沙織、梶裕貴
22,僕だけがいない街（TVアニメ動画）,91.5,3170,14471,4.0,4.2,4.0,3.8,4.0,4.0,TVアニメ動画,2016年冬アニメ,A-1 Pictures,土屋太鳳、満島真之介、悠木碧、赤﨑千夏、大地葉、鬼頭明里、七瀬彩夏、菊池幸利、水島大宙、高山みなみ、宮本充
23,鬼滅の刃（TVアニメ動画）,91.5,1361,5395,3.9,3.8,4.2,3.9,3.9,3.8,TVアニメ動画,2019年春アニメ,ufotable,花江夏樹、鬼頭明里、下野紘、松岡禎丞、櫻井孝宏、大塚芳忠、梶裕貴、加隈亜衣、岡本信彦、森川智之、悠木碧、井澤詩織、浪川大輔、山崎たくみ、緑川光、子安武人、坂本真綾、山下大輝、早見沙織、千葉繁、上田麗奈、日野聡、小西克幸、花澤香菜、河西健吾、杉田智和、鈴村健一、関智一、関俊彦、木村良平、福山潤、小松未可子、諏訪部順一、内山昂輝、小清水亜美、森久保祥太郎、白石涼子、稲田徹
24,映画けいおん！（アニメ映画）,91.6,2946,14836,4.3,4.0,4.3,4.3,4.4,4.4,アニメ映画,2011年12月3日,京都アニメーション,豊崎愛生、日笠陽子、佐藤聡美、寿美菜子、竹達彩奈、真田アサミ、米澤円、藤東知夏、永田依子
25,SHIROBAKO（TVアニメ動画）,91.4,3552,14511,4.2,4.3,4.2,4.1,3.9,4.3,TVアニメ動画,2014年秋アニメ,ピーエーワークス,木村珠莉、佳村はるか、千菅春香、髙野麻美、大和田仁美、西地修哉、松岡禎丞、山岡ゆり、吉野裕行、茅野愛衣、松風雅也、中原麻衣
26,けいおん！！ 2期（TVアニメ動画）,91.3,7267,30205,4.3,4.0,4.2,4.3,4.5,4.4,TVアニメ動画,2010年春アニメ,京都アニメーション,豊崎愛生、日笠陽子、佐藤聡美、寿美菜子、竹達彩奈、真田アサミ、藤東知夏、米澤円
27,Fate／Zero - フェイトゼロ（TVアニメ動画）,91.3,6051,27724,4.2,4.2,4.4,4.1,4.2,4.2,TVアニメ動画,2011年秋アニメ,ufotable,小山力也、川澄綾子、大原さやか、速水奨、関智一、中田譲治、阿部彬名、山崎たくみ、緑川光、浪川大輔、大塚明夫、石田彰、鶴岡聡、新垣樽助、置鮎龍太郎
28,＜物語シリーズ＞セカンドシーズン（TVアニメ動画）,91.3,3325,19486,4.2,4.2,4.2,4.3,4.0,4.3,TVアニメ動画,2013年夏アニメ,シャフト,神谷浩史、斎藤千和、加藤英美里、沢城みゆき、花澤香菜、堀江由衣、櫻井孝宏、坂本真綾、喜多村英梨、井口裕香、三木眞一郎、阿澄佳奈、根谷美智子
29,小林さんちのメイドラゴン（TVアニメ動画）,91.3,1425,6829,3.9,3.8,4.0,3.9,3.8,4.0,TVアニメ動画,2017年冬アニメ,京都アニメーション,田村睦心、桑原由気、長縄まりあ、高田憂希、高橋未奈美、小野大輔、中村悠一、加藤英美里、後藤邑子、石原夏織
30,あの日見た花の名前を僕達はまだ知らない。（TVアニメ動画）,91.2,14650,48184,4.2,4.3,4.2,4.1,4.3,4.2,TVアニメ動画,2011年春アニメ,A-1 Pictures,入野自由、茅野愛衣、戸松遥、櫻井孝宏、近藤孝行、早見沙織
31,Re：ゼロから始める異世界生活（TVアニメ動画）,91.2,3831,15541,4.0,4.1,4.1,4.1,4.0,4.0,TVアニメ動画,2016年春アニメ,WHITE FOX,小林裕介、高橋李依、内山夕実、赤﨑千夏、水瀬いのり、村川梨衣、新井里美、中村悠一、田村ゆかり、藤原啓治、井口裕香、堀江由衣、堀内賢雄、植田佳奈、江口拓也
32,ちはやふる（TVアニメ動画）,91.1,4052,18256,4.1,4.4,4.1,4.1,4.0,4.2,TVアニメ動画,2011年秋アニメ,マッドハウス,瀬戸麻沙美、細谷佳正、宮野真守、茅野愛衣、奈良徹、代永翼
33,銀魂（TVアニメ動画）,91.1,3001,14635,4.2,4.2,4.0,4.4,4.1,4.4,TVアニメ動画,2006年春アニメ,サンライズ,杉田智和、阪口大助、釘宮理恵、高橋美佳子、千葉進歩、中井和哉、鈴村健一、太田哲治、若本規夫、石田彰、ゆきのさつき、くじら、杉本ゆう、立木文彦、小林ゆう、三木眞一郎、藤原啓治、坂口候一
34,響け！ ユーフォニアム（TVアニメ動画）,91.0,2923,13002,4.2,4.1,4.4,4.1,4.3,4.1,TVアニメ動画,2015年春アニメ,京都アニメーション,黒沢ともよ、朝井彩加、豊田萌絵、安済知佳、寿美菜子、早見沙織、茅原実里、石谷春貴、津田健次郎、小堀幸、藤村鼓乃美、山岡ゆり、日笠陽子、沼倉愛美、久川綾、櫻井孝宏
35,とらドラ！（TVアニメ動画）,90.9,17699,52167,4.2,4.4,4.1,4.3,4.0,4.3,TVアニメ動画,2008年秋アニメ,J.C.STAFF,釘宮理恵、間島淳司、堀江由衣、野島裕史、喜多村英梨、大原さやか、田中理恵、吉野裕行、興津和幸、野中藍、石川桃子、後藤沙緒里
36,魔法少女まどか☆マギカ（TVアニメ動画）,90.9,10336,36401,4.1,4.4,4.0,4.1,4.3,4.1,TVアニメ動画,2011年冬アニメ,シャフト,悠木碧、斎藤千和、水橋かおり、喜多村英梨、加藤英美里、野中藍
37,とある科学の超電磁砲[レールガン]（TVアニメ動画）,90.8,10238,40417,4.2,4.1,4.1,4.1,4.2,4.3,TVアニメ動画,2009年秋アニメ,J.C.STAFF,佐藤利奈、新井里美、豊崎愛生、伊藤かな恵、阿部敦
38,進撃の巨人（TVアニメ動画）,90.8,6157,27928,4.2,4.3,4.2,4.1,4.2,4.1,TVアニメ動画,2013年春アニメ,WIT STUDIO,梶裕貴、石川由依、井上麻里奈、谷山紀章、嶋村侑、小林ゆう、三上枝織、下野紘、逢坂良太、細谷佳正、橋詰知久、藤田咲、藤原啓治、神谷浩史、小野大輔、朴璐美
39,プラネテス - ΠΛΑΝΗΤΕΣ（TVアニメ動画）,90.8,3002,14977,4.0,4.3,3.9,3.9,3.9,4.0,TVアニメ動画,2003年秋アニメ,サンライズ,田中一成、ゆきのさつき、折笠愛、子安武人、岡田吉弘、後藤哲夫、伊藤舞子、加門良、渡辺久美子、檜山修之、倉田雅世、若本規夫、小林恭治
40,天空の城ラピュタ（アニメ映画）,90.7,2285,13684,4.2,4.4,4.2,4.0,4.3,4.2,アニメ映画,1986年8月2日,スタジオジブリ,田中真弓、よこざわけい子、初井言榮、寺田農、常田富士男、永井一郎、糸博、鷲尾真知子、神山卓三、安原義人、亀山助清、槐柳二、TARAKO
41,冴えない彼女の育てかた♭（TVアニメ動画）,90.7,1303,6893,3.9,3.8,4.0,3.9,3.7,4.0,TVアニメ動画,2017年春アニメ,A-1 Pictures,松岡禎丞、安野希世乃、大西沙織、茅野愛衣、矢作紗友里、赤﨑千夏、柿原徹也
42,ソードアート・オンライン（TVアニメ動画）,90.5,12754,45663,4.1,4.2,4.2,4.1,4.1,4.1,TVアニメ動画,2012年夏アニメ,A-1 Pictures,松岡禎丞、戸松遥、竹達彩奈、伊藤かな恵、日高里菜、高垣彩陽、平田広明、安元洋貴、子安武人、山寺宏一、早見沙織、大川透
43,氷菓（TVアニメ動画）,90.5,8143,34269,4.1,4.1,4.4,4.1,3.9,4.1,TVアニメ動画,2012年春アニメ,京都アニメーション,中村悠一、佐藤聡美、阪口大助、茅野愛衣、ゆきのさつき、置鮎龍太郎、ゆかな、小山茉美、早見沙織、悠木碧、川原慶久、浅野真澄、豊崎愛生、小倉唯、阿部敦、伊瀬茉莉也、入野自由、小清水亜美、広橋涼、秦勇気、山崎たくみ、小西克幸、こぶしのぶゆき、日笠陽子、伊藤かな恵、升望、近藤孝行、森川智之、進藤尚美、茅原実里、寺島拓篤、竹達彩奈、寿美菜子、福山潤、杉田智和、谷山紀章、杉山紀彰、平川大輔、吉野裕行、石塚運昇、永井一郎、西村知道、二又一成、田中正彦、千葉繁、諏訪部順一
44,凪のあすから（TVアニメ動画）,90.5,6273,24674,4.2,4.2,4.4,4.2,4.2,4.2,TVアニメ動画,2013年秋アニメ,ピーエーワークス,花江夏樹、花澤香菜、茅野愛衣、逢坂良太、石川界人、小松未可子、石原夏織、名塚佳織、天田益男、間島淳司、清川元夢、鳥海浩輔
45,新世紀エヴァンゲリオン（TVアニメ動画）,90.5,6104,24551,4.1,4.1,3.9,4.1,4.3,4.2,TVアニメ動画,1995年秋アニメ,GAINAX,緒方恵美、三石琴乃、山口由里子、林原めぐみ、宮村優子、立木文彦、石田彰、清川元夢、優希比呂、長沢美樹、子安武人、関智一、岩永哲哉、岩男潤子、麦人
46,Fate／Zero 2ndシーズン（TVアニメ動画）,90.4,3132,17089,4.3,4.3,4.4,4.2,4.2,4.3,TVアニメ動画,2012年春アニメ,ufotable,小山力也、川澄綾子、大原さやか、速水奨、関智一、中田譲治、阿部彬名、山崎たくみ、緑川光、浪川大輔、大塚明夫、石田彰、鶴岡聡、新垣樽助、置鮎龍太郎
47,攻殻機動隊S.A.C 2nd GIG（TVアニメ動画）,90.5,2218,11886,4.3,4.3,4.3,4.3,4.3,4.4,TVアニメ動画,2004年冬アニメ,プロダクションI.G,田中敦子、阪脩、大塚明夫、山寺宏一、仲野裕、大川透、小野塚貴志、山口太郎、玉川砂記子
48,けいおん！（TVアニメ動画）,90.3,9496,36008,4.2,3.9,4.1,4.2,4.4,4.3,TVアニメ動画,2009年春アニメ,京都アニメーション,豊崎愛生、日笠陽子、佐藤聡美、寿美菜子、竹達彩奈、真田アサミ、藤東知夏、米澤円
49,交響詩篇エウレカセブン（TVアニメ動画）,90.3,4332,19936,4.1,4.2,4.0,4.0,4.2,4.1,TVアニメ動画,2005年春アニメ,ボンズ,三瓶由布子、名塚佳織、藤原啓治、山口太郎、根谷美智子、宮野真守、水沢史絵、志村知幸、チョー、松本保典、大木民夫、石森達幸、中村彰男、浅野まゆみ、辻谷耕史、小清水亜美、山崎樹範
50,君の名は。（アニメ映画）,90.3,2334,10475,4.1,4.1,4.5,4.0,4.2,4.0,アニメ映画,2016年8月26日,コミックス・ウェーブ・フィルム,神木隆之介、上白石萌音、長澤まさみ、市原悦子、悠木碧、島﨑信長、石川界人、成田凌、谷花音
51,ヒナまつり（TVアニメ動画）,90.3,1102,4872,4.0,4.0,3.9,4.0,3.7,4.2,TVアニメ動画,2018年春アニメ,feel.,田中貴子、中島ヨシキ、村川梨衣、本渡楓、日笠陽子、小澤亜李、小山剛志、河西健吾
52,Angel Beats！-エンジェルビーツ！（TVアニメ動画）,90.2,14407,46903,4.2,4.1,4.1,4.1,4.3,4.2,TVアニメ動画,2010年春アニメ,ピーエーワークス,神谷浩史、櫻井浩美、花澤香菜、喜多村英梨、木村良平、水島大宙、高木俊、斎藤楓子、牧野由依、増田裕生、Michael Rivas、徳本英一郎、小林由美子、東地宏樹、沢城みゆき、松浦チエ、阿澄佳奈、加藤英美里
53,PSYCHO-PASS サイコパス（TVアニメ動画）,90.2,5360,25412,4.1,4.3,4.0,4.1,4.1,4.1,TVアニメ動画,2012年秋アニメ,プロダクションI.G,関智一、花澤香菜、野島健児、有本欽隆、石田彰、伊藤静、沢城みゆき、櫻井孝宏、日髙のり子
54,天元突破グレンラガン（TVアニメ動画）,90.2,4110,19290,4.1,4.2,4.0,4.1,4.1,4.3,TVアニメ動画,2007年春アニメ,GAINAX,柿原徹也、小西克幸、井上麻里奈、小野坂昌也、檜山修之、伊藤静、中村大樹、谷山紀章、佐藤利奈、植田佳奈、阿澄佳奈、斎賀みつき、本田貴子、福井裕佳梨、梁田清之、根谷美智子、陶山章央、川久保潔、池田成志
55,進撃の巨人 Season2（TVアニメ動画）,90.2,1136,6180,4.0,4.1,4.1,4.0,3.9,4.0,TVアニメ動画,2017年春アニメ,WIT STUDIO,梶裕貴、石川由依、井上麻里奈、谷山紀章、嶋村侑、小林ゆう、三上枝織、下野紘、細谷佳正、橋詰知久、藤田咲、神谷浩史、小野大輔、朴璐美、藤原啓治
56,夏目友人帳（TVアニメ動画）,90.1,4890,23100,4.1,4.3,4.0,4.1,4.0,4.1,TVアニメ動画,2008年夏アニメ,ブレインズ・ベース,神谷浩史、井上和彦、小林沙苗、石田彰、堀江一眞、伊藤美紀、沢城みゆき、木村良平、菅沼久義、藤村歩
57,BLACK LAGOON ブラックラグーン（TVアニメ動画）,90.1,4912,22920,4.1,4.2,4.0,4.0,4.1,4.2,TVアニメ動画,2006年春アニメ,マッドハウス,豊口めぐみ、浪川大輔、磯部勉、平田広明、小山茉美
58,のんのんびより（TVアニメ動画）,90.1,3268,14806,4.1,4.0,4.1,4.1,4.0,4.3,TVアニメ動画,2013年秋アニメ,SILVER LINK.,小岩井ことり、村川梨衣、佐倉綾音、阿澄佳奈
59,ばらかもん（TVアニメ動画）,90.1,2822,13773,4.1,4.2,4.1,4.1,4.0,4.2,TVアニメ動画,2014年夏アニメ,キネマシトラス,小野大輔、原涼子、古木のぞみ、大久保瑠美、内山昂輝、遠藤璃菜、木村聖哉、潘めぐみ、徳永悦子、立木文彦、諏訪部順一、梶裕貴
60,偽物語（TVアニメ動画）,90.0,6872,30775,4.1,3.9,4.2,4.2,4.0,4.3,TVアニメ動画,2012年冬アニメ,シャフト,神谷浩史、喜多村英梨、井口裕香、斎藤千和、加藤英美里、沢城みゆき、花澤香菜、堀江由衣、坂本真綾、三木眞一郎、白石涼子、早見沙織
61,花咲くいろは（TVアニメ動画）,90.0,6113,26181,4.1,4.1,4.3,4.1,3.9,4.1,TVアニメ動画,2011年春アニメ,ピーエーワークス,伊藤かな恵、小見川千明、豊崎愛生、戸松遥、能登麻美子、梶裕貴、本田貴子、久保田民絵、浜田賢二、間島淳司、山口太郎、恒松あゆみ、諏訪部順一、チョー
62,風の谷のナウシカ（アニメ映画）,90.0,1881,12124,4.2,4.3,4.2,4.0,4.2,4.1,アニメ映画,1984年3月11日,スタジオジブリ / トップクラフト,島本須美、納谷悟朗、松田洋治、永井一郎、榊原良子、家弓家正、辻村真人、京田尚子
63,この素晴らしい世界に祝福を！（TVアニメ動画）,89.9,3030,14425,3.9,3.8,3.6,4.0,3.7,4.1,TVアニメ動画,2016年冬アニメ,スタジオディーン,福島潤、雨宮天、高橋李依、茅野愛衣、原紗友里、稲田徹、諏訪彩花、安元洋貴、江口拓也、堀江由衣
64,約束のネバーランド（TVアニメ動画）,89.9,961,4338,3.9,4.1,3.9,3.9,3.8,3.9,TVアニメ動画,2019年冬アニメ,CloverWorks,諸星すみれ、内田真礼、伊瀬茉莉也、甲斐田裕子、藤田奈央、植木慎英、Lynn、河野ひより、石上静香、茅野愛衣、日野まり、森優子、小澤亜李
65,CLANNAD [クラナド]（TVアニメ動画）,89.7,8389,31790,4.1,4.2,3.9,4.1,4.2,4.1,TVアニメ動画,2007年秋アニメ,京都アニメーション,中村悠一、中原麻衣、広橋涼、神田朱未、桑島法子、野中藍、能登麻美子、阪口大助、置鮎龍太郎、井上喜久子、ゆきのさつき、榎本温子
66,もののけ姫（アニメ映画）,89.7,1973,12790,4.2,4.2,4.3,3.9,4.2,4.1,アニメ映画,1997年7月12日,スタジオジブリ,松田洋治、石田ゆり子、田中裕子、上條恒彦、西村雅彦、島本須美、小林薫
67,時をかける少女（アニメ映画）,89.6,3932,20549,4.0,4.3,4.1,3.7,4.1,3.9,アニメ映画,2006年7月15日,マッドハウス,仲里依紗、石田卓也、板倉光隆、原沙知絵、谷村美月、垣内彩未、関戸優希
68,うさぎドロップ（TVアニメ動画）,89.6,3790,17093,4.0,4.2,3.9,3.9,3.7,4.2,TVアニメ動画,2011年夏アニメ,プロダクションI.G,土田大、松浦愛弓、大原さやか、酒井乃碧、植田佳奈、須藤菜々子、坂本真綾
69,月刊少女野崎くん（TVアニメ動画）,89.6,3086,15215,4.1,4.1,4.0,4.1,3.9,4.3,TVアニメ動画,2014年夏アニメ,動画工房,中村悠一、小澤亜李、岡本信彦、小野友樹、木村良平、中原麻衣、沢城みゆき、三宅健太、小野大輔、川澄綾子、宮野真守、三宅麻理恵
70,劇場版 ソードアート・オンライン オーディナル・スケール（アニメ映画）,89.6,1068,6451,4.1,4.0,4.3,4.1,4.2,4.1,アニメ映画,2017年2月18日,A-1 Pictures,松岡禎丞、戸松遥、伊藤かな恵、竹達彩奈、日高里菜、高垣彩陽、沢城みゆき、平田広明、安元洋貴、山寺宏一、神田沙也加、井上芳雄、鹿賀丈史
71,涼宮ハルヒの憂鬱（TVアニメ動画）,89.4,7594,32362,4.1,4.0,4.0,4.1,4.0,4.2,TVアニメ動画,2006年春アニメ,京都アニメーション,平野綾、杉田智和、後藤邑子、小野大輔、茅原実里、松岡由貴、桑谷夏子、白石稔、松元惠、あおきさやか
72,やはり俺の青春ラブコメはまちがっている。（TVアニメ動画）,89.4,6636,29737,4.1,4.1,3.9,4.1,3.9,4.3,TVアニメ動画,2013年春アニメ,ブレインズ・ベース,江口拓也、早見沙織、東山奈央、小松未可子、檜山修之、悠木碧、柚木涼香、中原麻衣、近藤隆、井上麻里奈、ささきのぞみ、小清水亜美
73,狼と香辛料（TVアニメ動画）,89.4,4610,22680,4.0,4.1,3.9,4.0,3.9,4.2,TVアニメ動画,2008年冬アニメ,IMAGIN,小清水亜美、福山潤、名塚佳織、中原麻衣
74,狼と香辛料II（TVアニメ動画）,89.4,2876,15611,4.0,4.1,4.0,4.1,3.8,4.2,TVアニメ動画,2009年夏アニメ,ブレインズ・ベース / マーヴィージャック,小清水亜美、福山潤、千葉紗子、小山力也、笹島かほる、渡辺明乃、朴璐美、内田夕夜、豊崎愛生
75,ちはやふる2（TVアニメ動画）,89.4,2194,11237,4.2,4.4,4.1,4.1,4.0,4.3,TVアニメ動画,2013年冬アニメ,マッドハウス,瀬戸麻沙美、細谷佳正、宮野真守、茅野愛衣、奈良徹、代永翼、入野自由、潘めぐみ
76,君に届け（TVアニメ動画）,89.3,2979,14547,4.0,4.2,3.9,4.0,3.8,4.1,TVアニメ動画,2009年秋アニメ,プロダクションI.G,能登麻美子、浪川大輔、沢城みゆき、三瓶由布子、中村悠一、平野綾
77,ルパン三世 カリオストロの城（アニメ映画）,89.2,1177,7708,4.2,4.3,4.1,4.2,4.0,4.3,アニメ映画,1979年12月15日,東京ムービー,山田康雄、増山江威子、小林清志、井上真樹夫、納谷悟朗、石田太郎、島本須美
78,かぐや様は告らせたい？～天才たちの恋愛頭脳戦～（TVアニメ動画）,89.2,746,3072,4.1,4.1,4.0,4.1,3.9,4.3,TVアニメ動画,2020年春アニメ,A-1 Pictures,古賀葵、古川慎、小原好美、鈴木崚汰、富田美憂、花守ゆみり、麻倉もも、日高里菜、八代拓、青山穣
79,猫物語（黒）（TVアニメ動画）,89.1,3303,18630,4.1,4.0,4.2,4.2,3.9,4.2,TVアニメ動画,2012年秋アニメ,シャフト,神谷浩史、堀江由衣、櫻井孝宏、坂本真綾、喜多村英梨、井口裕香
80,DEATH NOTE-デスノート（TVアニメ動画）,89.0,2336,12244,4.1,4.4,4.0,4.0,3.8,4.2,TVアニメ動画,2006年秋アニメ,jump.shueisha.co.jp/deathnote/,
81,とある科学の超電磁砲S（TVアニメ動画）,88.9,3462,20089,4.0,3.9,4.1,4.0,4.0,4.1,TVアニメ動画,2013年春アニメ,J.C.STAFF,佐藤利奈、新井里美、豊崎愛生、伊藤かな恵、ささきのぞみ、阿部敦、浅倉杏美
82,魔女の宅急便（アニメ映画）,88.9,1536,10701,4.0,4.1,4.1,3.8,4.2,4.0,アニメ映画,1989年7月29日,スタジオジブリ,高山みなみ、佐久間レイ、山口勝平、加藤治子、戸田恵子、関弘子、信澤三惠子
83,ノーゲーム・ノーライフ（TVアニメ動画）,88.8,5264,25704,4.0,4.1,4.0,4.1,3.9,4.1,TVアニメ動画,2014年春アニメ,マッドハウス,松岡禎丞、茅野愛衣、日笠陽子、田村ゆかり、井口裕香、能登麻美子、沢城みゆき、釘宮理恵、麦人、進藤尚美
84,マクロスFRONTIER[フロンティア]（TVアニメ動画）,88.8,3822,17889,4.1,3.9,4.0,4.0,4.6,4.0,TVアニメ動画,2008年春アニメ,サテライト,中村悠一、中島愛、遠藤綾、神谷浩史、福山潤、桑島法子、小西克幸、豊口めぐみ、大川透、小林沙苗、三宅健太、田中理恵、平野綾、福原香織、井上喜久子、西村知道、杉田智和
